customer_id,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,postcode,state,property_valuation
1,Female,93,12/10/1953,Executive Secretary,Health,Mass Customer,FALSE,TRUE,11,2016,NSW,10
2,Male,81,16/12/1980,Administrative Officer,Financial Services,Mass Customer,FALSE,TRUE,16,2153,NSW,10
5,Female,56,13/05/1977,Senior Editor,,Affluent Customer,FALSE,TRUE,8,2448,NSW,4
6,Male,35,16/09/1966,,Retail,High Net Worth,FALSE,TRUE,13,3216,VIC,9
7,Female,6,23/02/1976,,Financial Services,Affluent Customer,FALSE,TRUE,11,2210,NSW,9
8,Male,31,30/03/1962,Media Manager I,,Mass Customer,FALSE,FALSE,7,2650,NSW,4
9,Female,97,10/03/1973,Business Systems Development Analyst,Argiculture,Affluent Customer,FALSE,TRUE,8,2023,NSW,12
11,Male,99,30/04/1954,,Property,Mass Customer,FALSE,FALSE,9,3044,VIC,8
12,Male,58,21/07/1994,Nuclear Power Engineer,Manufacturing,Mass Customer,FALSE,FALSE,8,4557,QLD,4
13,Male,38,15/02/1955,Developer I,Financial Services,High Net Worth,FALSE,TRUE,8,3799,VIC,6
14,Female,85,25/03/1983,Account Executive,Financial Services,Affluent Customer,FALSE,FALSE,6,2760,NSW,8
15,Male,91,13/07/2000,Junior Executive,Manufacturing,Mass Customer,FALSE,FALSE,1,2428,NSW,9
16,Male,38,27/02/1977,Media Manager IV,,Mass Customer,FALSE,TRUE,18,3331,VIC,4
17,Male,57,19/03/1962,Sales Associate,,Affluent Customer,FALSE,TRUE,15,3058,VIC,9
18,Female,79,6/07/1967,Professor,,Affluent Customer,FALSE,FALSE,11,2135,NSW,12
19,Female,76,15/04/2001,Geological Engineer,Manufacturing,High Net Worth,FALSE,FALSE,1,2233,NSW,9
20,Male,72,13/08/1980,Project Manager,Manufacturing,Mass Customer,FALSE,FALSE,11,2444,NSW,8
21,Male,74,20/09/1980,Safety Technician I,Manufacturing,Affluent Customer,FALSE,TRUE,16,2650,NSW,7
