,customer_id,transaction_count,most_recent_transaction_day,sum_profit,age,gender,wealth_segment,state,job_title,job_industry_category,owns_car,past_3_years_bike_related_purchases,tenure,property_valuation,label,job_cluster
0,2950,3,2229,645.99,68.0,Male,Mass Customer,VIC,Software Engineer I,Financial Services,True,19.0,10.0,6.0,1,6.0
3,3120,7,2174,4179.11,44.0,Female,Mass Customer,NSW,Clinical Specialist,Health,True,89.0,10.0,5.0,2,3.0
10,402,6,2210,4965.43,46.0,Male,Affluent Customer,NSW,Desktop Support Technician,Retail,False,9.0,22.0,1.0,2,0.0
16,3135,7,2275,3983.97,61.0,Male,Mass Customer,NSW,Staff Scientist,Financial Services,False,83.0,16.0,10.0,2,14.0
23,2339,8,2165,3960.5600000000004,64.0,Male,Affluent Customer,NSW,Web Designer II,Property,True,3.0,16.0,10.0,2,11.0
31,1542,5,2287,1825.3200000000006,45.0,Male,Mass Customer,NSW,Food Chemist,Health,True,56.0,12.0,10.0,0,0.0
36,2459,11,2207,4737.3,37.0,Female,High Net Worth,QLD,Quality Engineer,Manufacturing,False,67.0,18.0,6.0,3,5.0
47,1305,5,2296,2825.0,53.0,Male,High Net Worth,QLD,Executive Secretary,Financial Services,True,97.0,6.0,4.0,0,28.0
52,3262,10,2155,4290.81,64.0,Male,Mass Customer,QLD,Product Engineer,Entertainment,False,65.0,12.0,8.0,3,17.0
62,2783,11,2227,2757.77,45.0,Male,Affluent Customer,NSW,Sales Representative,Retail,True,14.0,7.0,9.0,2,7.0
73,1243,10,2224,5127.43,70.0,Male,Mass Customer,NSW,Research Assistant II,Retail,False,73.0,8.0,11.0,3,22.0
83,2717,9,2195,4465.46,42.0,Male,Mass Customer,NSW,Registered Nurse,Health,False,31.0,13.0,5.0,3,10.0
92,247,7,2266,4913.16,40.0,Female,High Net Worth,NSW,Staff Accountant II,Financial Services,True,62.0,13.0,4.0,2,14.0
99,2961,6,2156,6234.87,48.0,Male,Mass Customer,VIC,Assistant Manager,Health,True,56.0,12.0,8.0,3,8.0
105,1842,5,2365,3055.85,46.0,Male,Mass Customer,NSW,Accountant IV,Financial Services,False,89.0,8.0,8.0,0,1.0
110,2268,8,2189,4473.32,58.0,Female,Mass Customer,VIC,Pharmacist,Health,False,66.0,19.0,8.0,2,0.0
118,3002,6,2198,1784.32,66.0,Male,Mass Customer,NSW,Paralegal,Financial Services,True,62.0,16.0,2.0,1,0.0
124,1582,5,2209,1914.1999999999998,45.0,Male,Mass Customer,NSW,Office Assistant III,Property,False,32.0,4.0,11.0,1,23.0
129,595,3,2338,2011.16,50.0,Male,Mass Customer,QLD,VP Marketing,Financial Services,False,72.0,22.0,4.0,0,12.0
132,2001,8,2240,5347.870000000001,46.0,Female,Mass Customer,NSW,Analog Circuit Design manager,Manufacturing,True,21.0,3.0,4.0,3,16.0
140,515,8,2168,5916.69,34.0,Female,High Net Worth,NSW,Help Desk Operator,IT,False,55.0,8.0,12.0,3,15.0
