,job_cluster,job_title
0,0.0,Desktop Support Technician
1,0.0,Food Chemist
2,0.0,Pharmacist
3,0.0,Paralegal
4,0.0,Occupational Therapist
5,0.0,Technical Writer
6,0.0,Assistant Media Planner
7,0.0,Legal Assistant
8,0.0,Internal Auditor
9,0.0,Social Worker
10,0.0,Speech Pathologist
11,0.0,Teacher
12,0.0,Physical Therapy Assistant
13,0.0,GIS Technical Architect
14,0.0,Data Coordiator
15,0.0,Actuary
16,0.0,Dental Hygienist
17,0.0,Librarian
18,0.0,Recruiter
19,1.0,Accountant IV
20,1.0,Accountant III
21,1.0,Accountant II
22,1.0,Cost Accountant
23,1.0,Tax Accountant
24,1.0,Accountant I
25,1.0,Senior Cost Accountant
26,2.0,Structural Analysis Engineer
27,2.0,Geological Engineer
28,2.0,Nuclear Power Engineer
29,2.0,Civil Engineer
30,2.0,Structural Engineer
31,2.0,Electrical Engineer
32,2.0,Chemical Engineer
33,2.0,Engineer II
34,2.0,Engineer I
35,2.0,Engineer III
36,2.0,Engineer IV
37,3.0,Clinical Specialist
38,3.0,Community Outreach Specialist
39,3.0,Environmental Tech
40,3.0,Environmental Specialist
41,4.0,Senior Developer
42,4.0,Web Developer III
43,4.0,Developer II
44,4.0,Web Developer IV
45,4.0,Web Developer I
46,4.0,Developer IV
47,4.0,Web Developer II
48,4.0,Developer III
49,4.0,Developer I
50,5.0,Quality Engineer
51,5.0,Quality Control Specialist
52,5.0,VP Quality Control
53,5.0,Senior Quality Engineer
54,6.0,Software Engineer I
55,6.0,Software Engineer III
56,6.0,Software Engineer II
57,6.0,Software Test Engineer III
58,6.0,Software Test Engineer I
59,6.0,Software Engineer IV
60,6.0,Software Consultant
61,6.0,Software Test Engineer IV
62,6.0,Software Test Engineer II
63,7.0,Sales Representative
64,7.0,Director of Sales
65,7.0,VP Accounting
66,7.0,VP Sales
67,8.0,Assistant Manager
68,8.0,Recruiting Manager
69,8.0,Project Manager
70,8.0,General Manager
71,9.0,Business Systems Development Analyst
72,9.0,Information Systems Manager
73,9.0,Compensation Analyst
74,9.0,Mechanical Systems Engineer
75,10.0,Registered Nurse
76,10.0,Nurse
77,10.0,Nurse Practicioner
78,10.0,Research Nurse
79,11.0,Web Designer II
80,11.0,Graphic Designer
81,11.0,Web Designer III
82,11.0,Web Designer I
83,11.0,Web Designer IV
84,12.0,VP Marketing
